source_file,zip_member,staged_file,file_type,status
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mq70m2z5-437293-2026-06-10T01-27-42-267Z (1).zip,bg3-study-export-participant-mq70m2z5-437293-2026-06-10T01-27-42-267Z (1)/bg3-study-log-participant-mq70m2z5-437293-2026-06-10T01-27-42-267Z.jsonl,,jsonl,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mq70m2z5-437293-2026-06-10T01-27-42-267Z (1).zip,bg3-study-export-participant-mq70m2z5-437293-2026-06-10T01-27-42-267Z (1)/bg3-study-survey-participant-mq70m2z5-437293-2026-06-10T01-27-42-267Z.json,,survey_json,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mq74r16t-8b9959-2026-06-09T22-03-06-089Z.zip,bg3-study-survey-participant-mq74r16t-8b9959-2026-06-09T22-03-06-089Z.json,,survey_json,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mq74r16t-8b9959-2026-06-09T22-03-06-089Z.zip,bg3-study-log-participant-mq74r16t-8b9959-2026-06-09T22-03-06-089Z.jsonl,,jsonl,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mq86r5q8-62d0e9-2026-06-10T15-39-51-120Z.zip,bg3-study-survey-participant-mq86r5q8-62d0e9-2026-06-10T15-39-51-120Z.json,,survey_json,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mq86r5q8-62d0e9-2026-06-10T15-39-51-120Z.zip,bg3-study-log-participant-mq86r5q8-62d0e9-2026-06-10T15-39-51-120Z.jsonl,,jsonl,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mq89l4pr-50d828-2026-06-11T08-13-40-333Z.zip,bg3-study-survey-participant-mq89l4pr-50d828-2026-06-11T08-13-40-333Z.json,,survey_json,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mq89l4pr-50d828-2026-06-11T08-13-40-333Z.zip,bg3-study-log-participant-mq89l4pr-50d828-2026-06-11T08-13-40-333Z.jsonl,,jsonl,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mq9rrhhc-33dea0-2026-06-11T18-21-37-464Z.zip,bg3-study-survey-participant-mq9rrhhc-33dea0-2026-06-11T18-21-37-464Z.json,,survey_json,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mq9rrhhc-33dea0-2026-06-11T18-21-37-464Z.zip,bg3-study-log-participant-mq9rrhhc-33dea0-2026-06-11T18-21-37-464Z.jsonl,,jsonl,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mqb4fag6-6ad1d5-2026-06-12T19-01-54-690Z.zip,bg3-study-survey-participant-mqb4fag6-6ad1d5-2026-06-12T19-01-54-690Z.json,,survey_json,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mqb4fag6-6ad1d5-2026-06-12T19-01-54-690Z.zip,bg3-study-log-participant-mqb4fag6-6ad1d5-2026-06-12T19-01-54-690Z.jsonl,,jsonl,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mqbpu17e-3a95f6-2026-06-13T03-06-00-688Z(1).zip,bg3-study-survey-participant-mqbpu17e-3a95f6-2026-06-13T03-06-00-688Z.json,,survey_json,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mqbpu17e-3a95f6-2026-06-13T03-06-00-688Z(1).zip,bg3-study-log-participant-mqbpu17e-3a95f6-2026-06-13T03-06-00-688Z.jsonl,,jsonl,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mqbpu8zh-63581d-2026-06-13T02-55-33-880Z.zip,bg3-study-survey-participant-mqbpu8zh-63581d-2026-06-13T02-55-33-880Z.json,,survey_json,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mqbpu8zh-63581d-2026-06-13T02-55-33-880Z.zip,bg3-study-log-participant-mqbpu8zh-63581d-2026-06-13T02-55-33-880Z.jsonl,,jsonl,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mqbro0lo-88d5a7-2026-06-13T03-50-07-114Z.zip,bg3-study-survey-participant-mqbro0lo-88d5a7-2026-06-13T03-50-07-114Z.json,,survey_json,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mqbro0lo-88d5a7-2026-06-13T03-50-07-114Z.zip,bg3-study-log-participant-mqbro0lo-88d5a7-2026-06-13T03-50-07-114Z.jsonl,,jsonl,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mqbsmuwn-832271-2026-06-13T04-08-56-180Z.zip,bg3-study-survey-participant-mqbsmuwn-832271-2026-06-13T04-08-56-180Z.json,,survey_json,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mqbsmuwn-832271-2026-06-13T04-08-56-180Z.zip,bg3-study-log-participant-mqbsmuwn-832271-2026-06-13T04-08-56-180Z.jsonl,,jsonl,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mqbtnitc-2035a0-2026-06-13T04-27-24-110Z.zip,bg3-study-survey-participant-mqbtnitc-2035a0-2026-06-13T04-27-24-110Z.json,,survey_json,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mqbtnitc-2035a0-2026-06-13T04-27-24-110Z.zip,bg3-study-log-participant-mqbtnitc-2035a0-2026-06-13T04-27-24-110Z.jsonl,,jsonl,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-Uriel_Septim_VII-2026-06-02T11-56-49-064Z(1).zip,bg3-study-log-Uriel_Septim_VII-converted-new-format(1).jsonl,,jsonl,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-Uriel_Septim_VII-2026-06-02T11-56-49-064Z(1).zip,bg3-study-survey-Uriel_Septim_VII-converted-new-format(1).json,,survey_json,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-Yoloman-2026-06-03T13-13-34-575Z.zip,bg3-study-log-Yoloman-converted-new-format(1).jsonl,,jsonl,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-Yoloman-2026-06-03T13-13-34-575Z.zip,bg3-study-survey-Yoloman-converted-new-format(1).json,,survey_json,skipped_existing_hash
