group_variable,group,variable,n,missing,mean,sd,median,q1,q3,min,max,mean_ci_low_boot,mean_ci_high_boot,median_ci_low_boot,median_ci_high_boot
bg3_experience_group,moderate,data_circle_focus_select_count,4,0,175.0,198.08583997853052,108.5,69.25,214.25,19.0,464.0,47.0,369.5,19.0,464.0
bg3_experience_group,moderate,data_circle_hover_dwell_count,4,0,42.5,27.922511825884623,39.0,24.5,57.0,14.0,78.0,21.0,65.5,14.0,78.0
bg3_experience_group,moderate,data_circle_total_dwell_sec,4,0,159.14875,105.63870311703946,154.4195,73.10525,240.46300000000002,60.107,267.649,68.77250000000001,249.52500000000003,60.107,267.649
bg3_experience_group,moderate,unique_focus_keys,4,0,48.0,22.211108331943574,49.0,39.5,57.5,20.0,74.0,28.0,67.0,20.0,74.0
bg3_experience_group,moderate,tooltip_open_count,4,0,929.75,825.9593916571605,629.0,382.0,1176.75,343.0,2118.0,369.0,1687.25,343.0,2118.0
bg3_experience_group,moderate,highlight_interaction_count,4,0,118.0,130.5654369782958,79.0,42.75,154.25,9.0,305.0,31.5,242.25,9.0,305.0
bg3_experience_group,moderate,damage_preview_update_count,4,0,44.0,7.615773105863909,43.0,39.75,47.25,36.0,54.0,38.25,50.75,36.0,54.0
bg3_experience_group,moderate,edits_after_visualization_60s,4,0,168.5,61.905842481411504,177.5,135.0,211.0,90.0,229.0,118.75,217.0,90.0,229.0
bg3_experience_group,moderate,party_gap_response_unique_edit_count,4,0,331.5,54.433445601027316,320.5,305.0,347.0,278.0,407.0,290.25,383.75,278.0,407.0
bg3_experience_group,moderate,evaluation_request_count,4,0,5.0,5.773502691896258,5.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0
bg3_experience_group,moderate,evaluation_failure_count,4,0,5.0,5.773502691896258,5.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0
bg3_experience_group,moderate,friction_event_count,4,0,34.0,10.801234497346433,36.5,28.25,42.25,20.0,43.0,25.5,42.5,20.0,43.0
bg3_experience_group,moderate,invalid_selection_count,4,0,34.0,10.801234497346433,36.5,28.25,42.25,20.0,43.0,25.5,42.5,20.0,43.0
bg3_experience_group,moderate,final_filled_party_slots,4,0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
bg3_experience_group,moderate,final_party_gap_count,4,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bg3_experience_group,moderate,final_high_severity_gap_count,4,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bg3_experience_group,moderate,final_medium_severity_gap_count,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bg3_experience_group,moderate,final_redundancy_score,4,0,0.9442949559110732,0.025978653172110695,0.9549904923736701,0.94136836536766,0.957917082917083,0.9056603773584906,0.9615384615384616,0.9184227721963572,0.959471603163192,0.9056603773584906,0.9615384615384616
bg3_experience_group,moderate,final_selected_ability_count,4,0,120.5,36.0416425818802,136.5,115.0,142.0,67.0,142.0,85.75,142.0,67.0,142.0
bg3_experience_group,moderate,final_damage_ability_count,4,0,54.0,25.78113005022601,53.5,35.25,72.25,27.0,82.0,32.5,75.5,27.0,82.0
