participant_id,session_id,event_category,count
participant-mq0uvjt0-011c95,participant-mq0uvjt0-011c95,friction,46
participant-mq0uvjt0-011c95,participant-mq0uvjt0-011c95,study,5
participant-mq0uvjt0-011c95,participant-mq0uvjt0-011c95,system,1
participant-mq0uvjt0-011c95,participant-mq0uvjt0-011c95,task,1
participant-mq0zhvzs-7029a5,participant-mq0zhvzs-7029a5,heatmap,6364
participant-mq0zhvzs-7029a5,participant-mq0zhvzs-7029a5,visualization,2060
participant-mq0zhvzs-7029a5,participant-mq0zhvzs-7029a5,party,1298
participant-mq0zhvzs-7029a5,participant-mq0zhvzs-7029a5,build_edit,1018
participant-mq0zhvzs-7029a5,participant-mq0zhvzs-7029a5,navigation,446
participant-mq0zhvzs-7029a5,participant-mq0zhvzs-7029a5,build_lifecycle,352
participant-mq0zhvzs-7029a5,participant-mq0zhvzs-7029a5,process,83
participant-mq0zhvzs-7029a5,participant-mq0zhvzs-7029a5,evaluation,28
participant-mq0zhvzs-7029a5,participant-mq0zhvzs-7029a5,friction,25
participant-mq0zhvzs-7029a5,participant-mq0zhvzs-7029a5,study,5
participant-mq0zhvzs-7029a5,participant-mq0zhvzs-7029a5,system,1
participant-mq0zhvzs-7029a5,participant-mq0zhvzs-7029a5,task,1
participant-mq2ql73p-7cf181,participant-mq2ql73p-7cf181,heatmap,9455
participant-mq2ql73p-7cf181,participant-mq2ql73p-7cf181,visualization,5818
participant-mq2ql73p-7cf181,participant-mq2ql73p-7cf181,party,1513
participant-mq2ql73p-7cf181,participant-mq2ql73p-7cf181,build_edit,1243
participant-mq2ql73p-7cf181,participant-mq2ql73p-7cf181,navigation,558
participant-mq2ql73p-7cf181,participant-mq2ql73p-7cf181,build_lifecycle,131
participant-mq2ql73p-7cf181,participant-mq2ql73p-7cf181,friction,34
participant-mq2ql73p-7cf181,participant-mq2ql73p-7cf181,process,34
participant-mq2ql73p-7cf181,participant-mq2ql73p-7cf181,evaluation,24
participant-mq2ql73p-7cf181,participant-mq2ql73p-7cf181,study,5
participant-mq2ql73p-7cf181,participant-mq2ql73p-7cf181,system,1
participant-mq2ql73p-7cf181,participant-mq2ql73p-7cf181,task,1
participant-mq3eh42s-fb2cf2,participant-mq3eh42s-fb2cf2,heatmap,5175
participant-mq3eh42s-fb2cf2,participant-mq3eh42s-fb2cf2,visualization,1911
participant-mq3eh42s-fb2cf2,participant-mq3eh42s-fb2cf2,party,1361
participant-mq3eh42s-fb2cf2,participant-mq3eh42s-fb2cf2,build_edit,1111
participant-mq3eh42s-fb2cf2,participant-mq3eh42s-fb2cf2,navigation,467
participant-mq3eh42s-fb2cf2,participant-mq3eh42s-fb2cf2,build_lifecycle,274
participant-mq3eh42s-fb2cf2,participant-mq3eh42s-fb2cf2,process,96
participant-mq3eh42s-fb2cf2,participant-mq3eh42s-fb2cf2,friction,79
participant-mq3eh42s-fb2cf2,participant-mq3eh42s-fb2cf2,study,5
participant-mq3eh42s-fb2cf2,participant-mq3eh42s-fb2cf2,evaluation,4
participant-mq3eh42s-fb2cf2,participant-mq3eh42s-fb2cf2,system,1
